artist_id,artist_name,artist_id_spotify,spotify_monthly_listener,spotify_follower_cnt,spotify_popularity,artist_id_youtube,youtube_follower_cnt,youtube_video_cnt,youtube_total_views,instagram_follower_cnt,X_follower_cnt,artist_id_melon,melon_follower_cnt,melon_song_cnt,melon_album_cnt,melon_total_song_likes,melon_max_song_likes,melon_min_song_likes,melon_mean_song_likes,melon_total_album_likes,melon_max_album_likes,melon_min_album_likes,melon_mean_album_likes
0,250,0ePKWgwmESq5970Hq1c3yE?si=MpLFHImlQyuzOe0PdRMe2A,7242,13540,20,,,,,,,640712,3223,14,4,12757,2160,339,911.2142857142857,3206,2749,107,801.5
1,갤럭시익스프레스,3HbmUr6CJxkk0YGkxeNpMp?si=WHRUwBUtSb2Fw8xI8bvBBg,2823,4211,23,UCsilEpR2UHgFa-JV_q6CFHQ,1750.0,54.0,655277.0,,,227741,1532,158,38,13835,1661,0,87.5632911392405,1947,166,0,43.266666666666666
2,검엑스,4vFO3Z1XVJ3IOX4nQjPW62?si=1ZcDmV8TT5ager_XHTR2BQ,4024,3080,20,UC0j1cP2C30YFiI9OnjfCwIw,831.0,67.0,74486.0,,,107122,500,98,16,3933,605,4,40.13265306122449,1214,95,12,40.46666666666667
3,검정치마,6WeDO4GynFmK4OxwkBzMW8?si=y8YPEPnORjKiwAIEEOscPQ,1429376,479460,57,UCMywBcgtpid_7bWQP-pEn2w,118000.0,12.0,10339044.0,,,276166,90159,88,20,1566042,171899,546,17795.93181818182,211126,27549,1531,7037.533333333334
4,구남과여라이딩스텔라,3DUz5LZtuWvUFgyRsgZNR7?si=e84d4ngMQPOMqreXL2nnIA,1932,2956,12,UC2uyDkfZOB1fcKSZ75LEMFg,2320.0,29.0,336904.0,,,230407,1899,68,17,12600,2048,19,185.2941176470588,9006,698,54,300.2
5,권진아,0kRAVpQhUUArA8UnYwEdeZ?si=NpR2jhoDSZuKBZU3xHG1EA,347966,161071,47,UC5KDvE51c8EqBK8G3Lv-7-g,162000.0,72.0,9047330.0,,,760046,75432,124,74,1579135,166318,46,12734.959677419354,66480,3358,166,886.4
6,극동아시아타이거즈,6GUWxio3LfJjV8DyH6RXEM?si=siXe3m67QC-kqPDZuHCyzQ,1840,1448,16,UCMbwvl6PdEqGmzUmGgKnuHg,1980.0,127.0,132179.0,,,2863270,657,23,12,4495,425,18,195.43478260869566,1136,197,49,94.66666666666667
7,글렌체크,68ZtcdthScW8ISOvVNW9sV?si=E22C6wh2TseJSuoku-nOpg,109409,42409,40,UCZsxMTnJzEjMBGhXVy23phg,41100.0,61.0,5970239.0,,,520620,15995,110,29,134635,42042,1,1223.9545454545455,9136,1869,4,304.53333333333336
8,김늑,6g3wwcrVl0v453lpIoYENy?si=H1etoovKRD66YYZgras2iQ,649,191,5,UCLXC5_z5ioxnWK1up9LS_Pg,436.0,27.0,39546.0,,,2642585,280,23,14,1784,252,2,77.56521739130434,401,127,6,28.642857142857142
9,김뜻돌,7EVlq3yUVHbHZZsaYSOcXt?si=auQfobr8TfqTWv7L1jd-rQ,139135,78661,42,UCIUbXhcpDmWajKpB7rOZcmg,64000.0,70.0,4211847.0,,,1816503,6021,42,16,53972,9224,68,1285.047619047619,12938,2212,41,431.26666666666665
10,김윤아,5jiscb6yxuu9hj4BoW5Wea?si=q3vZjDiuT5mpwytZQ1eEEA,51948,34106,42,UCGl6iy2e4F6cXR_nNV2kyTg,13900.0,34.0,978392.0,,,1767,27000,148,75,426469,60045,3,2881.5472972972975,137520,13925,21,1833.6
