artist_id,artist_id_melon,artist_name,melon_follower_cnt,melon_song_cnt,melon_album_cnt,melon_total_song_likes,melon_max_song_likes,melon_min_song_likes,melon_mean_song_likes,melon_total_album_likes,melon_max_album_likes,melon_min_album_likes,melon_mean_album_likes
0,640712,250,3223,14,4,12757,2160,339,911.2142857142857,3206,2749,107,801.5
1,227741,갤럭시익스프레스,1532,158,38,13835,1661,0,87.5632911392405,1947,166,0,43.266666666666666
2,107122,검엑스,500,98,16,3933,605,4,40.13265306122449,1214,95,12,40.46666666666667
3,276166,검정치마,90159,88,20,1566042,171899,546,17795.93181818182,211126,27549,1531,7037.533333333334
4,230407,구남과여라이딩스텔라,1899,68,17,12600,2048,19,185.2941176470588,9006,698,54,300.2
5,760046,권진아,75432,124,74,1579135,166318,46,12734.959677419354,66480,3358,166,886.4
6,2863270,극동아시아타이거즈,657,23,12,4495,425,18,195.43478260869566,1136,197,49,94.66666666666667
7,520620,글렌체크,15995,110,29,134635,42042,1,1223.9545454545455,9136,1869,4,304.53333333333336
8,2642585,김늑,280,23,14,1784,252,2,77.56521739130434,401,127,6,28.642857142857142
9,1816503,김뜻돌,6021,42,16,53972,9224,68,1285.047619047619,12938,2212,41,431.26666666666665
10,1767,김윤아,27000,148,75,426469,60045,3,2881.5472972972975,137520,13925,21,1833.6
