artist_id,artist_id_youtube,artist_name,youtube_follower_cnt,youtube_video_cnt,youtube_total_views
0,,250,,,
1,UCsilEpR2UHgFa-JV_q6CFHQ,갤럭시익스프레스,1750.0,54.0,655277.0
2,UC0j1cP2C30YFiI9OnjfCwIw,검엑스,831.0,67.0,74486.0
3,UCMywBcgtpid_7bWQP-pEn2w,검정치마,118000.0,12.0,10339044.0
4,UC2uyDkfZOB1fcKSZ75LEMFg,구남과여라이딩스텔라,2320.0,29.0,336904.0
5,UC5KDvE51c8EqBK8G3Lv-7-g,권진아,162000.0,72.0,9047330.0
6,UCMbwvl6PdEqGmzUmGgKnuHg,극동아시아타이거즈,1980.0,127.0,132179.0
7,UCZsxMTnJzEjMBGhXVy23phg,글렌체크,41100.0,61.0,5970239.0
8,UCLXC5_z5ioxnWK1up9LS_Pg,김늑,436.0,27.0,39546.0
9,UCIUbXhcpDmWajKpB7rOZcmg,김뜻돌,64000.0,70.0,4211847.0
10,UCGl6iy2e4F6cXR_nNV2kyTg,김윤아,13900.0,34.0,978392.0
