artist_id,artist_name,instagram_follower_cnt
0.0,250,36177
1.0,갤럭시익스프레스,4055
2.0,검엑스,3148
3.0,검정치마,238014
4.0,구남과여라이딩스텔라,5521
5.0,권진아,201796
6.0,극동아시아타이거즈,8786
7.0,글렌체크,30003
8.0,김늑,1895
9.0,김뜻돌,39216
10.0,김윤아,138847
11.0,김일두,3619
12.0,김창완밴드,9211
13.0,까데호,10291
14.0,나상현씨밴드,32594
15.0,너드커넥션,48579
16.0,넉살,229530
17.0,넬,27762
18.0,노브레인,6430
19.0,놀이도감,57063
20.0,뉴클리어 이디엇츠,1599
21.0,다브다,5567
22.0,다섯,19942
23.0,다양성,1681
24.0,다크 미러 오브 트레지디,4256
25.0,더 발룬티어스,99353
26.0,더 보울스,1377
27.0,더 폴스,110021
28.0,더 픽스,1895
29.0,데이먼스 이어,78144
30.0,데이식스,2848084
31.0,드링킹소년소녀합창단,10509
32.0,디폴트,4976
33.0,라쿠나,45895
34.0,로맨틱펀치,6616
35.0,리도어,29270
36.0,리프,720
37.0,마이앤트메리,2343
38.0,매미,465587
39.0,매써드,1134
40.0,모스크바서핑클럽,2631
41.0,모허,723
42.0,미역수염,2334
43.0,바밍타이거,156386
44.0,바비핀스,776
45.0,박소은,17949
46.0,베이루트택시,722
47.0,보수동쿨러,13571
48.0,봉제인간,8856
49.0,브로콜리너마저,
50.0,브로큰 발렌타인,3476
51.0,비비,3117877
52.0,새소년,200096
53.0,선우정아,90494
54.0,설,61678
55.0,세이수미,19857
56.0,소음발광,2949
57.0,스킵잭,2110
58.0,시네마,10782
59.0,실리카겔,192603
60.0,아디오스 오디오,4338
61.0,아마도이자람밴드,2167
62.0,아사달,1463
63.0,아월,9036
64.0,연정,10453
65.0,오션프롬더블루,99478
66.0,우효,47018
67.0,웨이브투어스,1713714
68.0,유라,96841
69.0,이날치,35757
70.0,이디오테잎,
71.0,이랑,
72.0,이무진,
73.0,이상은,
74.0,이승윤,
75.0,자우림,
76.0,잔나비,
77.0,잠비나이,
78.0,장기하,
79.0,적재,
80.0,정우,
81.0,죠지,
82.0,지소쿠리클럽,
83.0,채무자들,
84.0,체리필터,
85.0,초록불꽃소년단,
86.0,추다혜차지스,
87.0,카더가든,
88.0,카디,
89.0,캐치더영,
90.0,코토바,
91.0,크라잉넛,
92.0,크랙베리,
93.0,크랙샷,
94.0,크램,
95.0,터치드,
96.0,파란노을,
97.0,퍼지퍼그,
98.0,한로로,
99.0,해서웨이,
,홈 슬라이스,
101.0,화노,
102.0,ADOY,
103.0,CHS,
104.0,KAVE,
105.0,QWER,
106.0,Rad Museum,
107.0,Red C,
108.0,Remnants of the Fallen,
109.0,Sailor Honeymoon,
110.0,Snake Chicken Soup,
111.0,The Sound,
112.0,TRPP,
